id,sentence,target
1322,"a colorful , vibrant introduction to a universal human impulse , lushly photographed and beautifully recorded",+
1323,"full of profound , real life moments that anyone can relate to , it deserves a wide audience",+
1324,the party scenes deliver some tawdry kicks the rest of the film is dudsville,-
1325,a very funny romantic comedy about two skittish new york middle agers who stumble into a relationship and then struggle furiously with their fears and foibles,+
1326,captivates and shows how a skillful filmmaker can impart a message without bludgeoning the audience over the head,+
1327,"to the degree that ivans xtc works , it 's thanks to huston 's revelatory performance",+
1328,"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road trip drek we 've seen before only this time you have to read the fart jokes",-
1329,devoid of any of the qualities that made the first film so special,-
1330,"flamboyant in some movies and artfully restrained in others , 65 year old jack nicholson could be looking at his 12th oscar nomination by proving that he 's now , more than ever , choosing his roles with the precision of the insurance actuary",+
1331,a psychic journey deep into the very fabric of iranian life,+
1332,it 's a refreshing change from the self interest and paranoia that shape most american representations of castro,+
1333,"nicole kidman evolved from star to superstar some time over the past year , which means that birthday girl is the kind of quirkily appealing minor movie she might not make for a while",+
1334,"although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up catholic or , really , anything",+
1335,demme 's loose approach kills the suspense,-
1336,it looks much more like a cartoon in the end than the simpsons ever has,-
1337,"hard , endearing , caring , warm bring tissues",+
1338,what might have been a predictably heartwarming tale is suffused with complexity,+
1339,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be",-
1340,to show these characters in the act and give them no feelings of remorse and to cut repeatedly to the flashback of the original rape is overkill to the highest degree,-
1341,"a compelling , moving film that respects its audience and its source material",+
1342,"shadyac shoots his film like an m night shyamalan movie , and he frequently maintains the same snail 's pace he just forgot to add any genuine tension",-
1343,"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink it 's the ultimate redneck road trip",+
1344,diaz wears out her welcome in her most charmless performance,-
1345,mocking kung fu pictures when they were a staple of exploitation theater programming was witty mocking them now is an exercise in pointlessness,-
1346,"without shakespeare 's eloquent language , the update is dreary and sluggish",-
1347,"once the 50 year old benigni appears as the title character , we find ourselves longing for the block of wood to come back",-
1348,feels less like a change in herzog 's personal policy than a half hearted fluke,-
1349,the bottom line is the piece works brilliantly,+
1350,"well acted , well directed and , for all its moodiness , not too pretentious",+
1351,the subject of swinging still seems ripe for a documentary just not this one,-
1352,the movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error ',-
1353,"ultimately , mib ii succeeds due to its rapid fire delivery and enough inspired levity that it ca n't be dismissed as mindless",+
1354,"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're doing it for the cash ' sequel were",-
1355,"the problems of the people in love in the time of money are hardly specific to their era they just have problems , which are neither original nor are presented in convincing way",-
1356,"though a capable thriller , somewhere along the way k 19 jettisoned some crucial drama",+
1357,"the problem with concept films is that if the concept is a poor one , there 's no saving the movie sorry , charlie",-
1358,"a superbly controlled , passionate adaptation of graham greene 's 1955 novel",+
1359,dawdles and drags when it should pop it does n't even have the virtue of enough mindless violence to break up the tedium of all its generational bonding,-
1360,"despite all the closed door hanky panky , the film is essentially juiceless",-
1361,fun and nimble,+
1362,i felt trapped and with no obvious escape for the entire 100 minutes,-
1363,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh faced as its young guns cast",-
1364,"swimfan , like fatal attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub",-
1365,"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal",-
1366,"maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor",+
1367,"a grim , flat and boring werewolf movie that refuses to develop an energy level",-
1368,"in a summer of clones , harvard man is something rare and riveting a wild ride that relies on more than special effects",+
1369,"you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling",+
1370,the mushy finale turns john q into a movie of the week tearjerker,-
1371,"the format gets used best to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone crushing screwups",+
1372,too many improbabilities and rose colored situations temper what could 've been an impacting film,-
1373,a derivative collection of horror and sci fi cliches,-
1374,what kids will discover is a new collectible what parents will suspect is that they 're watching a 76 minute commercial,-
1375,"if the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you , the simplistic heaven will quite likely be more like hell",-
1376,it 's rare to see a movie that takes such a speedy swan dive from promising to interesting to familiar before landing squarely on stupid,-
1377,"i believe silberling had the best intentions here , but he just does n't have the restraint to fully realize them",-
1378,"an absorbing , slice of depression life that touches nerves and rings true",+
1379,a mimetic approximation of better films like contempt and 8 1 2,-
1380,wise and elegiac,+
1381,"here 's a case of two actors who do everything humanly possible to create characters who are sweet and believable , and are defeated by a screenplay that forces them into bizarre , implausible behavior",-
1382,van wilder brings a whole new meaning to the phrase ` comedy gag ' at least one scene is so disgusting that viewers may be hard pressed to retain their lunch,-
1383,"the story , once it gets rolling , is nothing short of a great one",+
1384,"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache",+
1385,"christians sensitive to a reductionist view of their lord as a luv spreading dr feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic",-
1386,"purely propaganda , a work of unabashed hero worship , it is nonetheless and likely inadvertently a timely and invaluable implicit reminder of the role that u s foreign policy has played in the rise of castro",+
1387,"a fine , rousing , g rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown ups from squirming in their seats",+
1388,a potentially good comic premise and excellent cast are terribly wasted,-
1389,"the fight scenes are fun , but it grows tedious",-
1390,an enjoyable feel good family comedy regardless of race,+
1391,"garbus discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation",-
1392,"taken purely as an exercise in style , this oppressively gloomy techno horror clambake is impossible to ignore but as a movie , it 's a humorless , disjointed mess",-
1393,this is more a case of ` sacre bleu ! ' than ` magnifique ',-
1394,director david fincher and writer david koepp ca n't sustain it,-
1395,a cautionary tale about the grandiosity of a college student who sees himself as impervious to a fall,+
1396,"cheap , vulgar dialogue and a plot that crawls along at a snail 's pace",-
1397,"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end",+
1398,"lookin ' for sin , american style ? try hell house , which documents the cautionary christian spook a rama of the same name",+
1399,"a timely look back at civil disobedience , anti war movements and the power of strong voices",+
1400,if only merchant paid more attention the story,-
1401,a compelling coming of age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother 's hold over her,+
1402,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english language movie , the overpraised elizabeth",+
1403,it 's made with deftly unsettling genre flair,+
1404,malcolm mcdowell is cool paul bettany is cool paul bettany playing malcolm mcdowell ? cool,+
1405,"not everything works , but the average is higher than in mary and most other recent comedies",+
1406,as steamy as last week 's pork dumplings,-
1407,"directors harry gantz and joe gantz have chosen a fascinating subject matter , but the couples exposing themselves are n't all that interesting",-
1408,it 's a 100 year old mystery that is constantly being interrupted by elizabeth hurley in a bathing suit,-
1409,should have been someone else,-
1410,"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion",-
1411,the sort of movie that gives tastelessness a bad rap,-
1412,"jeong hyang lee 's film is deceptively simple , deeply satisfying",+
1413,the plot meanders from gripping to plodding and back,-
1414,a listless and desultory affair,-
1415,"a creepy , intermittently powerful study of a self destructive man about as unsettling to watch as an exploratory medical procedure or an autopsy",+
1416,"chamber of secrets will find millions of eager fans but if the essence of magic is its make believe promise of life that soars above the material realm , this is the opposite of a truly magical movie",-
1417,salma goes native and she 's never been better in this colorful bio pic of a mexican icon,+
1418,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman,+
1419,the film suffers from a lack of humor ( something needed to balance out the violence ),-
1420,"though it pretends to expose the life of male hustlers , it 's exploitive without being insightful",-
1421,"the result is more depressing than liberating , but it 's never boring",+
1422,"a depraved , incoherent , instantly disposable piece of hackery",-
1423,stirs potentially enticing ingredients into an uneasy blend of ghost and close encounters of the third kind,-
1424,"a beguiling , slow moving parable about the collision of past and present on a remote seacoast in iran",+
1425,"the script is high on squaddie banter , low on shocks",-
1426,"despite a blue chip cast and a provocative title , writer director peter mattei 's first feature microwaves dull leftover romantic motifs basted in faux contemporary gravy",-
1427,completely awful iranian drama as much fun as a grouchy ayatollah in a cold mosque,-
1428,"one senses in world traveler and in his earlier film that freundlich bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact",-
1429,"hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile ( emphasized here ) accent the humor of wilson 's plight , and that saves his pathos from drippiness",+
1430,"elmo touts his drug as being 51 times stronger than coke if you 're looking for a tale of brits behaving badly , watch snatch again it 's 51 times better than this",-
1431,"if you 're content with a clever pseudo bio that manages to have a good time as it doles out pieces of the famous director 's life , eisenstein delivers",+
1432,standard guns versus martial arts cliche with little new added,-
1433,a decent enough nail biter that stands a good chance of being the big hit franklin needs to stay afloat in hollywood,+
1434,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka wrapped dose of heart",+
1435,k 19 the widowmaker is a great yarn,+
1436,"uncertain in tone a garbled exercise in sexual politics , a junior varsity short cuts by way of very bad things",-
1437,it 's impossible to indulge the fanciful daydreams of janice beard ( eileen walsh ) when her real life persona is so charmless and vacant,-
1438,"fine acting but there is no sense of connecting the dots , just dots",+
1439,"elegant and eloquent meditation on death and that most elusive of passions , love",+
1440,chalk it up as the worst kind of hubristic folly,-
1441,"without a strong script and energetic acting , dogma films can produce the same sleep inducing effects as watching your neighbor 's home videos",-
1442,the movie sticks much closer to hornby 's drop dead confessional tone than the film version of high fidelity did,+
1443,"a trashy , exploitative , thoroughly unpleasant experience",-
1444,"add yet another hat to a talented head , clooney 's a good director",+
1445,"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way",+
1446,a pro fat farce that overcomes much of its excessive moral baggage thanks to two appealing lead performances,+
1447,"it may not be history but then again , what if it is ? but it makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while",+
1448,"it is nature against progress in fessenden 's horror trilogy , this theme has proved important to him and is especially so in the finale",+
1449,a sentimental but entirely irresistible portrait of three aging sisters,+
1450,the spark of special anime magic here is unmistakable and hard to resist,+
1451,"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind",+
1452,we 've liked klein 's other work but rollerball left us cold,-
1453,"i 'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s",-
1454,"a touching , small scale story of family responsibility and care in the community",+
1455,"fierce , glaring and unforgettable",+
1456,wait for pay per view or rental but do n't dismiss barbershop out of hand,-
1457,"the screenplay comes across , rather unintentionally , as hip hop scooby doo",-
1458,a film that loses sight of its own story,-
1459,"there 's not much more to this adaptation of the nick hornby novel than charm effortless , pleasurable , featherweight charm",+
1460,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes,-
1461,"its gentle , touching story creeps into your heart",+
1462,"this is cool , slick stuff , ready to quench the thirst of an audience that misses the summer blockbusters",+
1463,"an earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th grade learning tool",+
1464,"it kinda works and qualifies as cool at times , but is just too lame to work or be cool at others",-
1465,the gentle melding of drama and comedy makes what time is it there ? something the true film buff will enjoy,+
1466,"the plot is straight off the shelf , the performances are television caliber and the message of providing solace through deception is a little creepy",-
1467,what was subtle and mystifying in the novella is now broad and farcical,-
1468,"the re enactments , however fascinating they may be as history , are too crude to serve the work especially well",-
1469,"an even more predictable , cliche ridden endeavor than its predecessor",-
1470,an intelligent fiction about learning through cultural clash,+
1471,"a droll , well acted , character driven comedy with unexpected deposits of feeling",+
1472,labute 's careful handling makes the material seem genuine rather than pandering,+
1473,"that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums",+
1474,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses damon 's ability to be focused and sincere",+
1475,"while the last metro was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history",+
1476,it 's hard to know whether or not to recommend this film because for every thing it does right there 's at least one and occasionally two things it gets ever so wrong,-
1477,"that neither protagonist has a distinguishable condition hardly matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks",-
1478,automatically pegs itself for the straight to video sci fi rental shelf,-
1479,"if you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this oscar nominated documentary takes you there",+
1480,"plodding , peevish and gimmicky",-
1481,"for a film about explosions and death and spies , ballistic ecks vs sever seems as safe as a children 's film well , in some of those , the mother deer even dies",-
1482,a romantic comedy that operates by the rules of its own self contained universe,+
1483,a little objectivity could have gone a long way,-
1484,a mixed bag of a comedy that ca n't really be described as out of this world,-
1485,eh,-
1486,"wendigo wants to be a monster movie for the art house crowd , but it falls into the trap of pretention almost every time",-
1487,"the pianist is a supremely hopeful cautionary tale of war 's madness remembered that we , today , can prevent its tragic waste of life here is a divine monument to a single man 's struggle to regain his life , his dignity and his music",+
1488,"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer",+
1489,"the period swinging london in the time of the mods and the rockers gets the once over once again in gangster no 1 , but falls apart long before the end",-
1490,"shatner is probably the funniest person in the film , which gives you an idea just how bad it was",-
1491,"if you 're just in the mood for a fun but bad movie , you might want to catch freaks as a matinee",-
1492,a rare movie that makes us re assess the basis for our lives and evaluate what is truly ours in a world of meaningless activity,+
1493,"theology aside , why put someone who ultimately does n't learn at the center of a kids ' story ?",-
1494,"should have gone straight to video it looks like an action movie , but it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such",-
1495,audiences can be expected to suspend their disbelief only so far and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school,-
1496,"ringu is a disaster of a story , full of holes and completely lacking in chills ignore the reputation , and ignore the film",-
1497,its adult themes of familial separation and societal betrayal are head and shoulders above much of the director 's previous popcorn work,+
1498,"this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives the lady and the duke something of a theatrical air",+
1499,"rarely , a movie is more than a movie go",+
1500,"cho 's fearless in picking apart human foibles , not afraid to lay her life bare in front of an audience her delivery and timing are flawless",+
1501,may be spoofing an easy target those old '50 's giant creature features but it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today,+
1502,"for a debut film , skin of man , heart of beast feels unusually assured",+
1503,go see it and enjoy,+
1504,the film 's taste for shock humor will wear thin on all but those weaned on the comedy of tom green and the farrelly brothers,-
1505,"flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising",-
1506,"the script is a tired one , with few moments of joy rising above the stale material",-
1507,"the movie addresses a hungry need for pg rated , nonthreatening family movies , but it does n't go too much further",+
1508,"wes craven 's presence is felt not the craven of ` a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend '",-
1509,a film of precious increments artfully camouflaged as everyday activities,+
1510,"claims to sort the bad guys from the good , which is its essential problem",-
1511,"by the time the plot grinds itself out in increasingly incoherent fashion , you might be wishing for a watch that makes time go faster rather than the other way around",-
1512,a four star performance from kevin kline who unfortunately works with a two star script,+
1513,"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well",+
1514,"the subtitled costume drama is set in a remote african empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow",+
1515,"to the film 's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment",+
1516,it 's fascinating to see how bettany and mcdowell play off each other,+
1517,"ritchie 's film is easier to swallow than wertmuller 's polemical allegory , but it 's self defeatingly decorous",-
1518,the screenplay never lets us forget that bourne was once an amoral assassin just like the ones who are pursuing him there is never really a true us versus them,+
1519,"ostensibly celebrates middle aged girl power , even as it presents friendship between women as pathetic , dysfunctional and destructive",-
1520,"flashy , pretentious and as impenetrable as morvern 's thick , working class scottish accent",-
1521,diggs and lathan are among the chief reasons brown sugar is such a sweet and sexy film,+
1522,an effortlessly accomplished and richly resonant work,+
1523,a no holds barred cinematic treat,+
1524,"ana is a vivid , vibrant individual and the movie 's focus upon her makes it successful and accessible",+
1525,"while most films these days are about nothing , this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world",+
1526,"undone by its overly complicated and derivative screenplay , the glacier paced direction and the stereotypical characters",-
1527,a good thriller,+
1528,"sparkles in its deft portrait of tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood",+
1529,"b art and berling are both superb , while huppert is magnificent",+
1530,"even if invincible is not quite the career peak that the pianist is for roman polanski , it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken",+
1531,showtime is a fine looking film with a bouncy score and a clutch of lively songs for deft punctuation,+
1532,"the problem with this film is that it 's forced to make its characters idiots in order to advance the plot had anyone here done anything remotely intelligent , we all could have stopped watching long ago",-
1533,this is the first full scale wwii flick from hong kong 's john woo he 's not good with people,-
1534,hudlin is stuck trying to light a fire with soggy leaves,-
1535,it 's fairly solid not to mention well edited so that it certainly does n't feel like a film that strays past the two and a half mark,+
1536,it 's almost as if it 's an elaborate dare more than a full blooded film,-
1537,"there are a few chuckles , but not a single gag sequence that really scores , and the stars seem to be in two different movies",-
1538,"there 's a scientific law to be discerned here that producers would be well to heed mediocre movies start to drag as soon as the action speeds up when the explosions start , they fall to pieces",-
1539,a faster paced family flick upper teens may get cynical smaller numbered kidlets will enjoy,-
1540,less than compelling documentary of a yiddish theater clan,-
1541,another in your face wallow in the lower depths made by people who have never sung those blues,-
1542,one of the best rock documentaries ever wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many,+
1543,"a story , an old and scary one , about the monsters we make , and the vengeance they take",+
1544,"what with all the blanket statements and dime store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time",-
1545,a rather thinly conceived movie,-
1546,"desta vez , columbus capturou o pomo de ouro",+
1547,it 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post soviet russia,+
1548,the package in which this fascinating and timely content comes wrapped is disappointingly generic,-
1549,"it 's a wonderful , sobering , heart felt drama",+
1550,"lauren ambrose comes alive under the attention from two strangers in town with honest performances and realistic interaction between the characters , this is a coming of age story with a twist",+
1551,it will make you think twice about what might be going on inside each trailer park you drive past even if it chiefly inspires you to drive a little faster,+
1552,"directed by kevin bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut",-
1553,best described as i know what you did last winter,-
1554,i love the opening scenes of a wintry new york city in 1899 cinematic poetry showcases the city 's old world charm before machines change nearly everything,+
1555,"the film 's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties",+
1556,"despite auteuil 's performance , it 's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug",-
1557,"the film never rises above a conventional , two dimension tale",-
1558,"whereas the extremely competent hitman films such as pulp fiction and get shorty resonate a sardonic verve to their caustic purpose for existing , who is cletis tout ? is an inexpressible and drab wannabe looking for that exact niche",-
1559,has its share of arresting images,+
1560,a dazzling dream of a documentary,+
1561,"in a summer overrun with movies dominated by cgi aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold sway",+
1562,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed",+
1563,"the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten",-
1564,"on top of a foundering performance , madonna 's denied her own athleticism by lighting that emphasizes every line and sag",-
1565,"a work of extraordinary journalism , but it is also a work of deft and subtle poetry",+
1566,the issue of faith is not explored very deeply,-
1567,"at its best , it 's black hawk down with more heart at its worst , it 's rambo meets john ford",-
1568,the piece plays as well as it does thanks in large measure to anspaugh 's three lead actresses,+
1569,os problemas t m in cio a partir do momento em que sa mos do cinema e come amos a pensar sobre o que acabamos de ver ent o que sinais realmente desaponta,+
1570,weird rewarding,+
1571,"the movie is so contrived , nonsensical and formulaic that , come to think of it , the day old shelf would be a more appropriate location to store it",-
1572,the turntable is now outselling the electric guitar,+
1573,"the urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative",+
1574,a picture as erratic as its central character,-
1575,bogdanich is unashamedly pro serbian and makes little attempt to give voice to the other side,-
1576,"the ring is pretty much an english language copy of the film that inspired it , and it carries the same strengths and flaws",+
1577,not since tom cruise in risky business has an actor made such a strong impression in his underwear,+
1578,a big meal of cliches that the talented cast generally chokes on,-
1579,"normally , rohmer 's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes his films so memorable",-
1580,"awesome work ineffable , elusive , yet inexplicably powerful",+
1581,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion",+
1582,an entire film about researchers quietly reading dusty old letters,-
1583,it 's so badly made on every level that i 'm actually having a hard time believing people were paid to make it,-
1584,"the result puts a human face on derrida , and makes one of the great minds of our times interesting and accessible to people who normally could n't care less",+
1585,"the movie should jolt you out of your seat a couple of times , give you a few laughs , and leave you feeling like it was worth your seven bucks , even though it does turn out to be a bit of a cheat in the end",+
1586,"boll uses a lot of quick cutting and blurry step printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect",-
1587,"baran is shockingly devoid of your typical majid majidi shoe loving , crippled children",+
1588,a modestly made but profoundly moving documentary,+
1589,"expect to be reminded of other , better films , especially seven , which director william malone slavishly copies",-
1590,a well crafted film that is all the more remarkable because it achieves its emotional power and moments of revelation with restraint and a delicate ambiguity,+
1591,"i blame all men for war , the warden 's daughter tells her father the movie is about as deep as that sentiment",-
1592,"the only thing that could possibly make them less interesting than they already are is for them to get full montied into a scrappy , jovial team",-
1593,despite modest aspirations its occasional charms are not to be dismissed,+
1594,"while this gentle and affecting melodrama will have luvvies in raptures , it 's far too slight and introspective to appeal to anything wider than a niche audience",+
1595,"sensitive , insightful and beautifully rendered film one of the best of the year",+
1596,reggio 's continual visual barrage is absorbing as well as thought provoking,+
1597,"a meatier deeper beginning and or ending would have easily tipped this film into the a range , as is , it 's a very very strong b i love the robust middle of this picture",+
1598,"a brisk , reverent , and subtly different sequel",+
1599,"though clearly well intentioned , this cross cultural soap opera is painfully formulaic and stilted",-
1600,"a muddled limp biscuit of a movie , a vampire soap opera that does n't make much sense even on its own terms",-
1601,"featuring a dangerously seductive performance from the great daniel auteuil , sade covers the same period as kaufmann 's quills with more unsettlingly realistic results",+
1602,"a huge disappointment coming , as it does , from filmmakers and performers of this calibre",-
1603,the immersive powers of the giant screen and its hyper realistic images are put to perfect use in the breathtakingly beautiful outer space documentary space station 3d,+
1604,"aside from being the funniest movie of the year , simone , andrew niccol 's brilliant anti hollywood satire , has a wickedly eccentric enchantment to it",+
1605,"gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet 's mouth",+
1606,"you emerge dazed , confused as to whether you 've seen pornography or documentary",+
1607,"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch",-
1608,this version incarnates the prophetic book in a way even its exacting author might admire,+
1609,an overly melodramatic but somewhat insightful french coming of age film,+
1610,boyd 's screenplay ( co written with guardian hack nick davies ) has a florid turn of phrase that owes more to guy ritchie than the bard of avon,-
1611,a predictable and stereotypical little b movie,-
1612,"too slow , too boring , and occasionally annoying",-
1613,"kids who are into this thornberry stuff will probably be in wedgie heaven anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning",-
1614,an incredibly clever and superbly paced caper filled with scams within scams within scams,+
1615,"splashes its drama all over the screen , subjecting its audience and characters to action that feels not only manufactured , but also so false you can see the filmmakers ' puppet strings",-
1616,the story and characters are nowhere near gripping enough,-
1617,vividly conveys both the pitfalls and the pleasures of over the top love,+
1618,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing almost",-
1619,richly entertaining and suggestive of any number of metaphorical readings,+
1620,a trashy little bit of fluff stuffed with enjoyable performances and a bewildering sense of self importance,+
1621,the makers of mothman prophecies succeed in producing that most frightening of all movies a mediocre horror film too bad to be good and too good to be bad,-
1622,"an elegant , exquisitely modulated psychological thriller",+
1623,majidi makes us think twice about immigrants we see around us every day,+
1624,"when you think you 've figured out bielinsky 's great game , that 's when you 're in the most trouble he 's the con , and you 're just the mark",+
1625,"interview with the assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its blair witch project real time roots",-
1626,looks like a high school film project completed the day before it was due,-
1627,"the one thing this wild film has that other imax films do n't chimps , lots of chimps , all blown up to the size of a house that 's fun for kids of any age",+
1628,equal parts bodice ripper and plodding costume drama,-
1629,"this new movie version of the alexandre dumas classic is the stuff of high romance , brought off with considerable wit",+
1630,"this limp gender bender baller from a first time director and rookie screenwriter steals wholesale from that 1982 's tootsie , forgetting only to retain a single laugh",-
1631,the tone shifts abruptly from tense to celebratory to soppy,-
1632,"this is a good script , good dialogue , funny even for adults the characters are interesting and often very creatively constructed from figure to backstory the film will play equally well on both the standard and giant screens",+
1633,a very stylish but ultimately extremely silly tale a slick piece of nonsense but nothing more,-
1634,"just when the movie seems confident enough to handle subtlety , it dives into soapy bathos",-
1635,like leafing through an album of photos accompanied by the sketchiest of captions,-
1636,it reaffirms life as it looks in the face of death,+
1637,"charlotte sometimes is a brilliant movie it is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity",+
1638,"although it 's a bit smug and repetitive , this documentary engages your brain in a way few current films do",+
1639,a film in a class with spike lee 's masterful do the right thing,+
1640,"a welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story",+
1641,"whatever complaints i might have , i 'd take its earnest errors and hard won rewards over the bombastic self glorification of other feel good fiascos like antwone fisher or the emperor 's club any time",+
1642,"an absurdist comedy about alienation , separation and loss",+
1643,"last orders nurtures the multi layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced it 's affecting , amusing , sad and reflective",+
1644,"this pep talk for faith , hope and charity does little to offend , but if saccharine earnestness were a crime , the film 's producers would be in the clink for life",-
1645,but even with the two wrongs make a right chemistry between jolie and burns this otherwise appealing picture loses its soul to screenwriting for dummies conformity,+
1646,the fact that the rookie is a nearly impeccable cinematic experience and a wonderful all ages triumph besides is a miracle akin to the story the film portrays,+
1647,delightfully rendered,+
1648,quick who wants to see a comedy about shoddy airport security ?,-
1649,"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy tale conclusion",-
1650,"dazzles with its fully written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years",+
1651,"a stylish but steady , and ultimately very satisfying , piece of character driven storytelling",+
1652,"makes the case for a strong education and good teachers being more valuable in the way they help increase an average student 's self esteem , and not strictly in the knowledge imparted",+
1653,"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity",+
1654,pretty good little movie,+
1655,"i liked about schmidt a lot , but i have a feeling that i would have liked it much more if harry tonto never existed",+
1656,the movie 's heavy handed screenplay navigates a fast fade into pomposity and pretentiousness,-
1657,julia is played with exasperating blandness by laura regan,-
1658,"borrows a bit from the classics wait until dark and extremities but in terms of its style , the movie is in a class by itself",+
1659,"for all of the contemporary post colonialist consciousness that kapur tries to bring to the four feathers , the oddest thing about the movie is how it winds up affirming the same damn moldy values the material has always held dear",-
1660,"as pure over the top trash , any john waters movie has it beat by a country mile",-
1661,the story really has no place to go since simone is not real she ca n't provide any conflict,-
1662,a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams,-
1663,"the story wraps back around on itself in the kind of elegant symmetry that 's rare in film today , but be warned it 's a slow slog to get there",+
